image_id,pred_box,pred_score,gt_box,iou,breed
n02092339_747,"Box(x_min=0, y_min=62, x_max=312, y_max=375)",1.0000,"Box(x_min=0, y_min=7, x_max=497, y_max=438)",0.4559,Weimaraner
n02101556_2023,"Box(x_min=100, y_min=50, x_max=250, y_max=200)",1.0000,"Box(x_min=73, y_min=88, x_max=270, y_max=270)",0.4043,clumber
n02086079_937,"Box(x_min=200, y_min=80, x_max=360, y_max=240)",1.0000,"Box(x_min=126, y_min=55, x_max=357, y_max=261)",0.5226,Pekinese
n02116738_5312,"Box(x_min=375, y_min=62, x_max=625, y_max=312)",1.0000,"Box(x_min=393, y_min=99, x_max=533, y_max=501)",0.3352,African_hunting_dog
n02102177_1160,"Box(x_min=128, y_min=64, x_max=256, y_max=192)",1.0000,"Box(x_min=63, y_min=13, x_max=457, y_max=351)",0.1230,Welsh_springer_spaniel
n02107574_1261,"Box(x_min=125, y_min=0, x_max=500, y_max=375)",1.0000,"Box(x_min=0, y_min=56, x_max=499, y_max=348)",0.6166,Greater_Swiss_Mountain_dog
n02088094_1823,"Box(x_min=40, y_min=120, x_max=200, y_max=280)",0.9999,"Box(x_min=41, y_min=147, x_max=296, y_max=498)",0.2251,Afghan_hound
n02096294_8476,"Box(x_min=224, y_min=128, x_max=320, y_max=224)",1.0000,"Box(x_min=161, y_min=84, x_max=321, y_max=275)",0.3016,Australian_terrier
n02113712_211,"Box(x_min=32, y_min=32, x_max=128, y_max=128)",1.0000,"Box(x_min=21, y_min=12, x_max=219, y_max=288)",0.1686,miniature_poodle
n02105412_7533,"Box(x_min=64, y_min=160, x_max=256, y_max=352)",1.0000,"Box(x_min=16, y_min=108, x_max=308, y_max=366)",0.4893,kelpie
n02106382_9317,"Box(x_min=200, y_min=50, x_max=450, y_max=300)",1.0000,"Box(x_min=192, y_min=123, x_max=498, y_max=331)",0.5403,Bouvier_des_Flandres
n02091032_551,"Box(x_min=160, y_min=40, x_max=400, y_max=280)",1.0000,"Box(x_min=43, y_min=47, x_max=470, y_max=373)",0.3969,Italian_greyhound
n02094258_3376,"Box(x_min=160, y_min=32, x_max=320, y_max=192)",0.9998,"Box(x_min=12, y_min=86, x_max=279, y_max=318)",0.1683,Norwich_terrier
n02101388_892,"Box(x_min=96, y_min=64, x_max=192, y_max=160)",0.9999,"Box(x_min=63, y_min=83, x_max=205, y_max=226)",0.3340,Brittany_spaniel
n02112350_3824,"Box(x_min=96, y_min=192, x_max=224, y_max=320)",1.0000,"Box(x_min=5, y_min=6, x_max=328, y_max=552)",0.0929,keeshond
n02102480_5792,"Box(x_min=288, y_min=32, x_max=384, y_max=128)",1.0000,"Box(x_min=261, y_min=50, x_max=394, y_max=246)",0.2694,Sussex_spaniel
n02100735_4943,"Box(x_min=78, y_min=468, x_max=546, y_max=937)",1.0000,"Box(x_min=2, y_min=57, x_max=797, y_max=1034)",0.2826,English_setter
n02091831_3675,"Box(x_min=0, y_min=120, x_max=240, y_max=360)",1.0000,"Box(x_min=71, y_min=216, x_max=373, y_max=453)",0.2321,Saluki
n02091467_4951,"Box(x_min=160, y_min=32, x_max=288, y_max=160)",1.0000,"Box(x_min=37, y_min=16, x_max=285, y_max=258)",0.2649,Norwegian_elkhound
n02108089_3258,"Box(x_min=200, y_min=40, x_max=320, y_max=160)",1.0000,"Box(x_min=27, y_min=46, x_max=263, y_max=239)",0.1361,boxer
n02108422_568,"Box(x_min=224, y_min=32, x_max=384, y_max=192)",1.0000,"Box(x_min=2, y_min=55, x_max=419, y_max=269)",0.2359,bull_mastiff
n02094114_2428,"Box(x_min=192, y_min=32, x_max=288, y_max=128)",1.0000,"Box(x_min=61, y_min=37, x_max=237, y_max=172)",0.1418,Norfolk_terrier
n02086646_1476,"Box(x_min=0, y_min=0, x_max=96, y_max=96)",0.9998,"Box(x_min=8, y_min=13, x_max=140, y_max=176)",0.3118,Blenheim_spaniel
n02095314_3321,"Box(x_min=32, y_min=0, x_max=192, y_max=160)",1.0000,"Box(x_min=7, y_min=0, x_max=188, y_max=190)",0.7125,wire-haired_fox_terrier
n02093754_1247,"Box(x_min=0, y_min=62, x_max=187, y_max=250)",1.0000,"Box(x_min=61, y_min=49, x_max=386, y_max=328)",0.2319,Border_terrier
n02108089_2482,"Box(x_min=160, y_min=128, x_max=320, y_max=288)",1.0000,"Box(x_min=18, y_min=137, x_max=375, y_max=373)",0.2819,boxer
n02105505_475,"Box(x_min=32, y_min=96, x_max=224, y_max=288)",1.0000,"Box(x_min=14, y_min=42, x_max=492, y_max=285)",0.3109,komondor
n02100877_6642,"Box(x_min=40, y_min=80, x_max=240, y_max=280)",1.0000,"Box(x_min=93, y_min=35, x_max=486, y_max=330)",0.2323,Irish_setter
n02095889_4078,"Box(x_min=0, y_min=0, x_max=96, y_max=96)",0.9999,"Box(x_min=15, y_min=19, x_max=212, y_max=142)",0.2292,Sealyham_terrier
n02086079_9756,"Box(x_min=0, y_min=62, x_max=312, y_max=375)",1.0000,"Box(x_min=50, y_min=55, x_max=240, y_max=455)",0.5208,Pekinese
n02098413_1396,"Box(x_min=192, y_min=128, x_max=288, y_max=224)",1.0000,"Box(x_min=92, y_min=10, x_max=393, y_max=332)",0.0951,Lhasa
n02090721_969,"Box(x_min=200, y_min=0, x_max=360, y_max=160)",1.0000,"Box(x_min=224, y_min=27, x_max=322, y_max=246)",0.3830,Irish_wolfhound
n02093754_897,"Box(x_min=200, y_min=120, x_max=400, y_max=320)",1.0000,"Box(x_min=12, y_min=55, x_max=398, y_max=491)",0.2347,Border_terrier
